company,Date,ROE(%),EPS
1264,2013,28.44,12.02
1264,2012,37.48,11.26
1264,2011,57.81,11.03
1264,2010,,4.2
1268,2016,21.75,7.3
1268,2015,21.94,6.13
1268,2014,24.13,5.1
1268,2013,26.63,4.44
1268,2012,,3.41
1301,2016,13.12,6.19
1301,2015,10.79,4.85
1301,2014,6.53,2.81
1301,2013,8.5,3.25
1301,2012,6.27,2.4
1301,2011,14.23,5.84
1301,2010,18.74,7.44
1301,2009,13.58,4.5
1301,2008,9.18,3.45
1301,2007,21.64,8.36
1301,2006,18.14,5.4
1301,2005,23.38,5.98
1301,2004,29.88,7.13
1301,2003,16.21,3.45
1301,2002,10.59,2.18
1301,2001,7.58,1.58
1301,2000,15.76,3.35
1303,2016,14.14,6.16
1303,2015,10.75,4.5
1303,2014,10.43,4
1303,2013,9.13,3.19
1303,2012,1.34,0.54
1303,2011,8.46,2.95
1303,2010,14.93,5.22
1303,2009,6.74,2.09
1303,2008,4.28,1.23
1303,2007,21.91,7.75
1303,2006,21.91,6.23
1303,2005,21.41,5.4
1303,2004,26.44,6.23
1303,2003,11.88,2.61
1303,2002,9.69,2.22
1303,2001,2.3,1.35
1303,2000,16.4,4.02
1304,2016,7.48,1.15
1304,2015,5.05,0.85
1304,2014,2.1,0.62
1304,2013,5.5,0.79
1304,2012,9.12,1.6
1304,2011,17.19,3.51
1304,2010,19,3.62
1304,2009,15.69,2.78
1304,2008,-4.31,0.1
1304,2007,9.72,2.01
1304,2006,4.82,0.82
1304,2005,3.73,0.93
1304,2004,10.73,1.33
1304,2003,2.91,0.26
1304,2002,-0.13,0.02
1304,2001,-3.08,-0.3
1304,2000,-1.17,-0.1
1305,2016,20.92,3.02
1305,2015,13.13,1.64
1305,2014,2.4,0.25
1305,2013,13.89,1.67
1305,2012,17.52,1.88
1305,2011,-0.84,-0.22
1305,2010,0.11,0.01
1305,2009,11.33,1.21
1305,2008,-8.23,-0.78
1305,2007,0.81,0.11
1305,2006,1.01,0.15
1305,2005,-12.11,-1.31
1305,2004,19.46,2
1305,2003,0.12,0.01
1305,2002,-5.76,-0.52
1305,2001,-21.68,-2.35
1305,2000,-10.78,-1.4
1307,2016,14.32,3.13
1307,2015,13.54,2.85
1307,2014,13.12,2.59
1307,2013,11.73,2.19
1307,2012,10.79,2
1307,2011,11.56,1.96
1307,2010,19.2,3.14
1307,2009,18.97,2.98
1307,2008,18.14,2.8
1307,2007,13.73,2.06
1307,2006,12.12,1.75
1307,2005,10.1,1.39
1307,2004,10.19,1.32
1307,2003,9.68,1.34
1307,2002,7.71,1.17
1307,2001,1.16,0.37
1307,2000,4.05,0.55
1308,2016,7.32,1.32
1308,2015,6.03,1.08
1308,2014,5.48,1.06
1308,2013,5.76,1.14
1308,2012,6.74,1.32
1308,2011,18.99,4.14
1308,2010,19.79,4.64
1308,2009,17,3.78
1308,2008,6,1.3
1308,2007,14.04,3.01
1308,2006,7.78,1.41
1308,2005,7.74,1.28
1308,2004,12.92,2.08
1308,2003,6.3,1.03
1308,2002,6.4,1
1308,2001,-2.57,-0.4
1308,2000,-1.64,-0.28
1309,2016,3.58,0.37
1309,2015,1.97,0.21
1309,2014,-16.69,-1.93
1309,2013,0.43,0.05
1309,2012,-1.55,-0.19
1309,2011,6.68,0.87
1309,2010,14.55,1.89
1309,2009,17.87,1.93
1309,2008,-43.3,-5.53
1309,2007,5,0.78
1309,2006,2.63,0.4
1309,2005,1.66,0.23
1309,2004,4.81,0.67
1309,2003,-2.12,-0.29
1309,2002,0.65,0.09
1309,2001,-3.96,-0.57
1309,2000,0.93,0.13
1310,2016,18.8,2.67
1310,2015,9.37,1.31
1310,2014,-5.53,-0.07
1310,2013,18.06,2.16
1310,2012,-9.03,-0.88
1310,2011,-14.65,-1.48
1310,2010,1.87,0.1
1310,2009,11.65,1.19
1310,2008,-16.08,-1.83
1310,2007,5.94,0.73
1310,2006,4.17,0.59
1310,2005,-4.7,-0.57
1310,2004,8.44,1.23
1310,2003,5.37,0.75
1310,2002,9.52,1.61
1310,2001,-5.72,-0.66
1310,2000,11.73,1.52
1312,2016,12.97,2.65
1312,2015,8.98,1.62
1312,2014,2.72,0.31
1312,2013,12.58,2.15
1312,2012,12,1.92
1312,2011,8.53,1.23
1312,2010,15.88,2.31
1312,2009,24.83,3.31
1312,2008,-22.07,-3.28
1312,2007,12,1.82
1312,2006,11.41,1.4
1312,2005,4.74,0.4
1312,2004,20.45,1.56
1312,2003,-17.68,-1.92
1312,2002,3.22,-0.08
1312,2001,-24.95,-3.1
1312,2000,-3.33,1.31
1313,2016,5.98,0.96
